Customer ID,CompleteName,Duplicates
100003503,AbigailAbraham,Unique
200000619,AlexanderAbraham,Unique
400002691,AmyAbraham,Unique
300001577,AnneAbraham,Unique
100003685,BrianAbraham,Unique
300000271,CarlAbraham,Unique
100000446,ChristianAbraham,Unique
100002915,DeirdreAbraham,Unique
100000867,EvanAbraham,Unique
400002153,GordonAbraham,Unique
100000934,HeatherAbraham,Unique
200001332,JakeAbraham,Duplicate
200003495,JakeAbraham,Duplicate
200002921,JenniferAbraham,Unique
200000645,JoanAbraham,Unique
100003819,JohnAbraham,Unique
100001373,JoshuaAbraham,Unique
300003705,JuliaAbraham,Unique
100001800,KeithAbraham,Unique
200000661,LucasAbraham,Duplicate
100003448,LucasAbraham,Duplicate
100003001,MattAbraham,Unique
100002530,MeganAbraham,Unique
100003728,MichaelAbraham,Unique
200003897,PaulAbraham,Unique
300003775,SeanAbraham,Unique
200003031,SimonAbraham,Unique
100002065,VictoriaAbraham,Unique
100000960,AbigailAllan,Unique
200003840,AlisonAllan,Unique
300000717,AnneAllan,Unique
100001864,BernadetteAllan,Unique
200001390,ChristopherAllan,Unique
100002963,DonnaAllan,Unique
100003452,EdwardAllan,Unique
100002593,EmilyAllan,Unique
100000806,FionaAllan,Unique
300002265,GabrielleAllan,Unique
100003853,JackAllan,Unique
300000468,JasmineAllan,Unique
300002012,JenniferAllan,Unique
100003787,JonathanAllan,Unique
300000539,JuliaAllan,Unique
100003423,LeonardAllan,Unique
100000998,MichaelAllan,Unique
200000632,NicholasAllan,Duplicate
200002648,NicholasAllan,Duplicate
200000896,PaulAllan,Unique
200003425,RachelAllan,Unique
100002089,SamAllan,Unique
100001381,SebastianAllan,Unique
200001586,VanessaAllan,Unique
100003515,VictorAllan,Unique
200003697,AdrianAlsop,Unique
200001868,AlexandraAlsop,Unique
100003094,AndreaAlsop,Unique
200001991,BernadetteAlsop,Unique
100000279,BlakeAlsop,Unique
200001612,BrianAlsop,Unique
300000794,CameronAlsop,Unique
100003575,CharlesAlsop,Unique
200001062,DanAlsop,Unique
200003154,DavidAlsop,Unique
100001720,DeirdreAlsop,Unique
100002429,DianaAlsop,Unique
200001904,DianeAlsop,Unique
200001046,DylanAlsop,Unique
100002743,EdwardAlsop,Unique
400001816,EmilyAlsop,Unique
200001571,IanAlsop,Unique
100001674,IreneAlsop,Unique
100003374,JackAlsop,Unique
200003702,JakeAlsop,Unique
100003329,JanAlsop,Unique
300003536,JoeAlsop,Unique
100000874,JuliaAlsop,Unique
100001364,KarenAlsop,Unique
200003103,KeithAlsop,Unique
200002124,MichaelAlsop,Unique
100001109,NatalieAlsop,Unique
100001497,NathanAlsop,Unique
200002261,NeilAlsop,Unique
200003619,NicholasAlsop,Unique
300002266,StewartAlsop,Unique
100001847,UnaAlsop,Unique
100002512,VanessaAlsop,Unique
100002192,WarrenAlsop,Unique
200003803,WendyAlsop,Unique
100001933,AlanAnderson,Unique
100000772,AlexanderAnderson,Unique
200003796,AnthonyAnderson,Unique
400000601,BlakeAnderson,Unique
100001557,BorisAnderson,Unique
200000348,BrandonAnderson,Unique
100000892,ChristopherAnderson,Unique
300003804,DavidAnderson,Unique
100000995,FelicityAnderson,Unique
300002616,GordonAnderson,Unique
100002861,JasonAnderson,Unique
300000735,JohnAnderson,Unique
200000965,JulianAnderson,Unique
100003688,PenelopeAnderson,Unique
200003340,PiersAnderson,Unique
100003189,RichardAnderson,Unique
100003311,RobertAnderson,Unique
200003275,SamAnderson,Unique
100002880,StephenAnderson,Unique
100003538,StewartAnderson,Unique
100002968,ZoeAnderson,Unique
100003712,AmeliaArnold,Unique
100002623,AnneArnold,Unique
100003929,BenjaminArnold,Unique
200001328,BlakeArnold,Unique
100002435,BorisArnold,Unique
200000607,BrianArnold,Unique
100001757,CameronArnold,Unique
200000764,CarlArnold,Unique
200000671,CarolynArnold,Unique
200000580,CharlesArnold,Unique
100000640,DavidArnold,Unique
300003142,ElizabethArnold,Unique
100001025,EmmaArnold,Unique
100001543,EvanArnold,Unique
100001714,FaithArnold,Unique
100002243,FelicityArnold,Unique
200001695,GabrielleArnold,Unique
200001078,IsaacArnold,Unique
100001732,JacobArnold,Unique
100002916,JohnArnold,Unique
100002544,KevinArnold,Unique
200002650,LiamArnold,Unique
100000277,MariaArnold,Unique
300002298,PhilArnold,Unique
100003598,RoseArnold,Unique
100000221,SallyArnold,Unique
100003832,SebastianArnold,Unique
200002548,StevenArnold,Unique
100002244,SueArnold,Unique
100000155,TimArnold,Unique
200001679,VictorArnold,Duplicate
200003721,VictorArnold,Duplicate
100003836,VictoriaArnold,Unique
100002542,WilliamArnold,Unique
100000203,YvonneArnold,Unique
100002950,AlanAvery,Unique
100001293,AmyAvery,Unique
100001595,BellaAvery,Unique
100002170,BorisAvery,Unique
200002378,CharlesAvery,Unique
200002685,ChloeAvery,Unique
100000982,DeirdreAvery,Unique
100002112,EmilyAvery,Unique
100003748,GavinAvery,Unique
100002693,HarryAvery,Unique
100003212,IanAvery,Unique
400000431,JanAvery,Duplicate
100001632,JanAvery,Duplicate
300002274,JasonAvery,Unique
200003545,JoanAvery,Unique
100000973,JuliaAvery,Unique
100003849,KatherineAvery,Unique
200003936,LeonardAvery,Unique
100000311,LucasAvery,Unique
100002370,MadeleineAvery,Unique
100004003,PaulAvery,Unique
200001030,PeterAvery,Unique
100002421,RichardAvery,Unique
100003687,RuthAvery,Unique
300002761,SamanthaAvery,Unique
200002790,SebastianAvery,Unique
100001224,SophieAvery,Unique
100001398,StephanieAvery,Unique
200003841,TrevorAvery,Unique
100000190,VanessaAvery,Unique
100000275,VictorAvery,Unique
100002612,WarrenAvery,Unique
100001537,AdamBailey,Unique
200001137,AmandaBailey,Unique
200000384,BellaBailey,Unique
100003317,ChristianBailey,Unique
300002163,DianaBailey,Unique
100002554,DominicBailey,Unique
100002119,EmilyBailey,Unique
300001529,HarryBailey,Unique
200001487,JosephBailey,Unique
100001209,KeithBailey,Unique
200001163,KevinBailey,Unique
100002168,MariaBailey,Unique
100003727,NathanBailey,Unique
200002901,PaulBailey,Unique
100002132,PenelopeBailey,Unique
200001934,PeterBailey,Duplicate
400002361,PeterBailey,Duplicate
100003365,RachelBailey,Unique
100003837,RuthBailey,Unique
100001485,SebastianBailey,Unique
100000889,StephenBailey,Unique
300002359,TheresaBailey,Unique
100000177,ThomasBailey,Unique
100001617,TraceyBailey,Unique
300001538,UnaBailey,Unique
200001938,WendyBailey,Unique
100001930,BrianBaker,Unique
100000224,ChristianBaker,Unique
200003906,DonnaBaker,Unique
100003079,DorothyBaker,Unique
100002826,EllaBaker,Unique
400000540,FionaBaker,Unique
200001610,IanBaker,Unique
400002152,JaneBaker,Unique
100003627,JasonBaker,Unique
200000886,JoeBaker,Unique
100000240,JohnBaker,Unique
200002202,JonathanBaker,Unique
100003171,JustinBaker,Unique
400002550,LilyBaker,Unique
100002037,MattBaker,Unique
200003305,MelanieBaker,Unique
400001355,NeilBaker,Unique
200003532,OliviaBaker,Unique
100003948,OwenBaker,Unique
200000765,PaulBaker,Duplicate
100003665,PaulBaker,Duplicate
100002799,RachelBaker,Unique
100003310,RuthBaker,Unique
100003838,SamuelBaker,Unique
100001433,SebastianBaker,Unique
100000858,SimonBaker,Unique
100000547,SueBaker,Unique
100002982,TimBaker,Unique
100000456,AmandaBall,Unique
100000182,AustinBall,Unique
300003983,BellaBall,Unique
100003097,ClaireBall,Unique
200003013,EvanBall,Unique
100003309,FelicityBall,Unique
100002407,GordonBall,Unique
100001126,HeatherBall,Unique
200001199,JakeBall,Duplicate
200003295,JakeBall,Duplicate
200001763,JasonBall,Unique
100001303,JoeBall,Unique
200001251,JonathanBall,Unique
200000947,KatherineBall,Unique
100001582,KimberlyBall,Unique
100000253,LaurenBall,Unique
100003174,LeonardBall,Unique
100000143,LukeBall,Unique
100003590,MaryBall,Unique
100002893,MaxBall,Unique
100003375,MichelleBall,Unique
200002251,MollyBall,Unique
300001996,OwenBall,Duplicate
200003863,OwenBall,Duplicate
400002278,PippaBall,Unique
200000700,SamBall,Unique
100000049,SimonBall,Unique
100002285,SoniaBall,Unique
300002730,SophieBall,Unique
100000145,StevenBall,Unique
200002709,TrevorBall,Unique
100001506,UnaBall,Unique
100003615,VictorBall,Unique
200002470,AdamBell,Unique
200001350,AlexanderBell,Unique
300002520,AmandaBell,Unique
100000925,AndrewBell,Unique
100002645,AnneBell,Unique
200002123,BorisBell,Unique
100003595,CarolineBell,Unique
100001177,ChristopherBell,Unique
100002157,ColinBell,Unique
400003472,DorothyBell,Unique
300001767,EvanBell,Unique
100000062,FionaBell,Unique
300002269,GordonBell,Unique
100001051,JacobBell,Unique
100002385,JakeBell,Unique
300001743,JosephBell,Unique
100000031,MeganBell,Unique
100003491,MichaelBell,Unique
100002140,PenelopeBell,Unique
100001096,RebeccaBell,Unique
100001560,SallyBell,Unique
100001564,SamanthaBell,Unique
100000144,SeanBell,Unique
200003124,StephenBell,Unique
100000404,StewartBell,Unique
300001286,TrevorBell,Unique
100002432,WandaBell,Unique
100001462,ZoeBell,Unique
100001094,AmandaBerry,Unique
100003273,AngelaBerry,Unique
100003730,AnnaBerry,Unique
400002180,AudreyBerry,Unique
100000207,BlakeBerry,Unique
100001505,ChristopherBerry,Unique
100000566,DianeBerry,Unique
100003394,DylanBerry,Unique
100002372,FaithBerry,Unique
100003330,GabrielleBerry,Unique
200000391,GavinBerry,Unique
100003890,IsaacBerry,Unique
100001496,JackBerry,Unique
100000825,JasonBerry,Unique
100001672,KatherineBerry,Unique
200000046,LisaBerry,Unique
200003979,LukeBerry,Unique
100003435,PhilBerry,Unique
100001155,RobertBerry,Unique
300002855,RoseBerry,Unique
100003989,TimBerry,Unique
100001291,VictorBerry,Unique
100000128,VirginiaBerry,Unique
100003513,BernadetteBlack,Unique
200002979,BrianBlack,Unique
100003134,DanBlack,Unique
100000042,DianeBlack,Unique
100002341,DominicBlack,Unique
100001615,EmmaBlack,Unique
100001168,FelicityBlack,Unique
300000270,HeatherBlack,Unique
200002396,IanBlack,Unique
100000124,JohnBlack,Unique
300001130,JosephBlack,Unique
200001330,JoshuaBlack,Unique
300001425,LeahBlack,Unique
300002549,LeonardBlack,Unique
100003756,LillianBlack,Unique
100003670,LisaBlack,Unique
200003463,LukeBlack,Unique
100000285,MattBlack,Unique
200001138,MichelleBlack,Unique
300000375,MollyBlack,Unique
200001479,NicholasBlack,Unique
200003243,RachelBlack,Unique
300002032,RichardBlack,Unique
100001167,RobertBlack,Unique
300001119,SamBlack,Unique
100003384,SimonBlack,Unique
100002948,SophieBlack,Unique
100002960,ThomasBlack,Unique
200002536,VictorBlack,Duplicate
300002715,VictorBlack,Duplicate
200003424,AbigailBlake,Unique
300001599,AdrianBlake,Unique
200003717,AustinBlake,Unique
100000126,BenjaminBlake,Unique
300001614,BlakeBlake,Unique
100000405,CameronBlake,Unique
100000236,CarolBlake,Unique
200000387,ChristianBlake,Unique
100002815,ClaireBlake,Unique
100003266,EdwardBlake,Unique
100001515,FrankBlake,Unique
200000924,GabrielleBlake,Unique
200003033,GavinBlake,Unique
100001319,HeatherBlake,Unique
100001475,IreneBlake,Unique
100002002,JanBlake,Unique
200000977,JenniferBlake,Unique
400000471,JoanBlake,Unique
100001553,JulianBlake,Unique
100003574,KimberlyBlake,Unique
100001832,NicolaBlake,Unique
100000192,OliverBlake,Unique
100002620,RachelBlake,Unique
400000272,RoseBlake,Unique
200000844,SarahBlake,Unique
100000724,UnaBlake,Unique
300002538,VanessaBlake,Unique
100003040,WandaBlake,Unique
200001792,AlexandraBond,Unique
100003850,AngelaBond,Unique
200000751,BrianBond,Unique
100001878,CarolBond,Unique
100002326,CarolineBond,Unique
300000767,ChloeBond,Unique
100003458,ClaireBond,Unique
100002135,ConnorBond,Unique
200000987,DylanBond,Unique
200003070,ElizabethBond,Unique
200000106,EllaBond,Unique
100001153,EvanBond,Unique
200000370,JoshuaBond,Unique
100000381,KimberlyBond,Unique
300000966,LaurenBond,Unique
100002183,LillianBond,Unique
100001684,LilyBond,Unique
100000293,NathanBond,Unique
300002747,OwenBond,Unique
100003133,PippaBond,Unique
200003583,RichardBond,Unique
200003938,RobertBond,Unique
100001227,SallyBond,Unique
300001926,StevenBond,Unique
200001021,VanessaBond,Unique
200002393,WarrenBond,Unique
100001040,WilliamBond,Unique
200003527,AmandaBower,Unique
400000956,AmeliaBower,Unique
100002440,BellaBower,Unique
100000249,BrandonBower,Unique
200000912,BrianBower,Unique
100001281,CameronBower,Unique
200001115,DavidBower,Unique
300000428,DianaBower,Unique
100002938,EmmaBower,Unique
400000180,EricBower,Unique
300002074,FionaBower,Unique
100001729,GabrielleBower,Unique
400001022,JasonBower,Unique
100001898,JosephBower,Unique
100001676,MadeleineBower,Unique
200003261,NatalieBower,Unique
100000996,PaulBower,Unique
100000133,RuthBower,Unique
100002967,SallyBower,Unique
200002923,SoniaBower,Unique
400000739,YvonneBower,Unique
100003738,DavidBrew,Unique
100002642,AdrianBrown,Unique
100001825,AlanBrown,Unique
200003128,AustinBrown,Unique
100002320,BlakeBrown,Unique
200002977,CarolBrown,Unique
200000459,CharlesBrown,Unique
100003744,ChristianBrown,Unique
100002964,DeirdreBrown,Unique
100003965,EmilyBrown,Unique
100000077,FrankBrown,Unique
200001518,GraceBrown,Unique
200002483,HeatherBrown,Unique
100001943,JonathanBrown,Unique
200000609,LeonardBrown,Unique
100000003,LiamBrown,Unique
100002467,MaryBrown,Unique
100003586,MollyBrown,Unique
100002607,RuthBrown,Unique
200002990,SebastianBrown,Unique
200000536,SimonBrown,Unique
100001321,StevenBrown,Duplicate
200001994,StevenBrown,Duplicate
200001147,ThomasBrown,Unique
100002545,TimBrown,Unique
300002906,TrevorBrown,Unique
200002791,VanessaBrown,Unique
300001779,YvonneBrown,Unique
100003881,AbigailBuckland,Unique
100002229,AlanBuckland,Unique
100000827,AmyBuckland,Unique
100001534,AnthonyBuckland,Unique
100003324,ClaireBuckland,Unique
400000449,EdwardBuckland,Unique
100000894,FaithBuckland,Unique
100003151,FelicityBuckland,Unique
400000396,FionaBuckland,Unique
200001776,FrankBuckland,Unique
100002850,GavinBuckland,Unique
300002336,HeatherBuckland,Unique
100003921,IsaacBuckland,Unique
100000081,JoanBuckland,Unique
200000728,JohnBuckland,Unique
100000346,JosephBuckland,Unique
100001267,KevinBuckland,Unique
100001370,KylieBuckland,Unique
200002829,LiamBuckland,Unique
400000557,LisaBuckland,Unique
100001552,MeganBuckland,Unique
300000752,MelanieBuckland,Unique
200002355,MollyBuckland,Unique
100002782,NicholasBuckland,Unique
100000085,PippaBuckland,Unique
100002672,SimonBuckland,Unique
100002079,SophieBuckland,Unique
400001343,YvonneBuckland,Unique
100002283,AndreaBurgess,Unique
100003851,AudreyBurgess,Unique
100000413,BorisBurgess,Unique
200003625,BrianBurgess,Unique
200003071,DeirdreBurgess,Unique
400001927,EmilyBurgess,Unique
200001283,EvanBurgess,Unique
100001399,GavinBurgess,Unique
300002729,HarryBurgess,Unique
100003287,HeatherBurgess,Unique
100003520,IreneBurgess,Unique
300001341,IsaacBurgess,Unique
200001828,JaneBurgess,Unique
200001352,JasmineBurgess,Unique
100001619,JoanneBurgess,Unique
200003541,JulianBurgess,Unique
100003267,LiamBurgess,Unique
100003231,LukeBurgess,Unique
100001191,OliverBurgess,Unique
200000066,PiersBurgess,Unique
100002242,RichardBurgess,Unique
200000538,RobertBurgess,Unique
100000826,SeanBurgess,Unique
100001706,SimonBurgess,Unique
300002210,StevenBurgess,Unique
200000804,YvonneBurgess,Unique
200002902,AdamButler,Unique
100002038,AlanButler,Unique
300002400,AlexandraButler,Unique
200003401,AngelaButler,Unique
300000736,AnneButler,Unique
100003019,BorisButler,Unique
