Customer ID,Name,Surname,Gender,Age,Region,Job Classification,Date Joined,Balance,CompleteName,Day,Month,Year,MonthName,Duplicates
100003503,Abigail,Abraham,Female,48,England,White Collar,03.Dec.15,35410.35,AbigailAbraham,3,12,2015,Dec,Unique
200000619,Alexander,Abraham,Male,49,Scotland,Blue Collar,21.May.15,32144.44,AlexanderAbraham,21,5,2015,May,Unique
400002691,Amy,Abraham,Female,42,Northern Ireland,Other,18.Oct.15,46393.55,AmyAbraham,18,10,2015,Oct,Unique
300001577,Anne,Abraham,Female,38,Wales,White Collar,10.Aug.15,31609.57,AnneAbraham,10,8,2015,Aug,Unique
100003685,Brian,Abraham,Male,27,England,White Collar,13.Dec.15,77898.09,BrianAbraham,13,12,2015,Dec,Unique
300000271,Carl,Abraham,Male,30,Wales,White Collar,17.Apr.15,28912.8,CarlAbraham,17,4,2015,Apr,Unique
100000446,Christian,Abraham,Male,37,England,White Collar,11.May.15,66791.82,ChristianAbraham,11,5,2015,May,Unique
100002915,Deirdre,Abraham,Female,23,England,White Collar,30.Oct.15,5965.14,DeirdreAbraham,30,10,2015,Oct,Unique
100000867,Evan,Abraham,Male,38,England,White Collar,14.Jun.15,4562.77,EvanAbraham,14,6,2015,Jun,Unique
400002153,Gordon,Abraham,Male,30,Northern Ireland,Other,19.Sep.15,83549.66,GordonAbraham,19,9,2015,Sep,Unique
100000934,Heather,Abraham,Female,35,England,White Collar,20.Jun.15,14360.43,HeatherAbraham,20,6,2015,Jun,Unique
100000215,Alan,Murray,Male,39,England,Blue Collar,13.Apr.15,34338.84,AlanMurray,13,4,2015,Apr,Duplicate
200000485,Alan,Murray,Male,54,Scotland,White Collar,13.May.15,72492.49,AlanMurray,13,5,2015,May,Duplicate
200002921,Jennifer,Abraham,Female,34,Scotland,Other,30.Oct.15,61355.54,JenniferAbraham,30,10,2015,Oct,Unique
200000645,Joan,Abraham,Female,47,Scotland,Other,23.May.15,19366.89,JoanAbraham,23,5,2015,May,Unique
100003819,John,Abraham,Male,40,England,White Collar,19.Dec.15,9785.44,JohnAbraham,19,12,2015,Dec,Unique
100001373,Joshua,Abraham,Male,24,England,White Collar,25.Jul.15,17127.23,JoshuaAbraham,25,7,2015,Jul,Unique
300003705,Julia,Abraham,Female,39,Wales,White Collar,13.Dec.15,3810.47,JuliaAbraham,13,12,2015,Dec,Unique
100001800,Keith,Abraham,Male,27,England,Blue Collar,27.Aug.15,5019.65,KeithAbraham,27,8,2015,Aug,Unique
100001292,Alexander,Hudson,Male,43,England,White Collar,21.Jul.15,29339.77,AlexanderHudson,21,7,2015,Jul,Duplicate
200002395,Alexander,Hudson,Male,45,Scotland,Other,30.Sep.15,81068.1,AlexanderHudson,30,9,2015,Sep,Duplicate
100003001,Matt,Abraham,Male,47,England,Blue Collar,03.Nov.15,8576.46,MattAbraham,3,11,2015,Nov,Unique
100002530,Megan,Abraham,Female,39,England,White Collar,09.Oct.15,33703.11,MeganAbraham,9,10,2015,Oct,Unique
100003728,Michael,Abraham,Male,35,England,Other,15.Dec.15,26728,MichaelAbraham,15,12,2015,Dec,Unique
200003897,Paul,Abraham,Male,48,Scotland,Blue Collar,23.Dec.15,2991.66,PaulAbraham,23,12,2015,Dec,Unique
300003775,Sean,Abraham,Male,29,Wales,Blue Collar,16.Dec.15,29909.03,SeanAbraham,16,12,2015,Dec,Unique
200003031,Simon,Abraham,Male,40,Scotland,Blue Collar,05.Nov.15,42462.18,SimonAbraham,5,11,2015,Nov,Unique
100002065,Victoria,Abraham,Female,29,England,Other,15.Sep.15,41897.53,VictoriaAbraham,15,9,2015,Sep,Unique
100000960,Abigail,Allan,Female,36,England,White Collar,21.Jun.15,31644.37,AbigailAllan,21,6,2015,Jun,Unique
200003840,Alison,Allan,Female,46,Scotland,Other,20.Dec.15,15479.42,AlisonAllan,20,12,2015,Dec,Unique
300000717,Anne,Allan,Female,30,Wales,White Collar,28.May.15,16103.61,AnneAllan,28,5,2015,May,Unique
100001864,Bernadette,Allan,Female,28,England,White Collar,31.Aug.15,20894.82,BernadetteAllan,31,8,2015,Aug,Unique
200001390,Christopher,Allan,Male,54,Scotland,Blue Collar,26.Jul.15,90166.9,ChristopherAllan,26,7,2015,Jul,Unique
100002963,Donna,Allan,Female,37,England,Blue Collar,01.Nov.15,16408.46,DonnaAllan,1,11,2015,Nov,Unique
100003452,Edward,Allan,Male,40,England,Blue Collar,30.Nov.15,30954.9,EdwardAllan,30,11,2015,Nov,Unique
100002593,Emily,Allan,Female,35,England,White Collar,13.Oct.15,2120.44,EmilyAllan,13,10,2015,Oct,Unique
100000806,Fiona,Allan,Female,39,England,White Collar,05.Jun.15,26507.93,FionaAllan,5,6,2015,Jun,Unique
300002265,Gabrielle,Allan,Female,25,Wales,White Collar,24.Sep.15,40535.16,GabrielleAllan,24,9,2015,Sep,Unique
100003853,Jack,Allan,Male,28,England,Blue Collar,21.Dec.15,54458.54,JackAllan,21,12,2015,Dec,Unique
300000468,Jasmine,Allan,Female,45,Wales,Other,12.May.15,64149.12,JasmineAllan,12,5,2015,May,Unique
300002012,Jennifer,Allan,Female,19,Wales,Blue Collar,11.Sep.15,71036.74,JenniferAllan,11,9,2015,Sep,Unique
100003787,Jonathan,Allan,Male,32,England,Blue Collar,17.Dec.15,17056.8,JonathanAllan,17,12,2015,Dec,Unique
300000539,Julia,Allan,Female,23,Wales,Blue Collar,17.May.15,80752.64,JuliaAllan,17,5,2015,May,Unique
100003423,Leonard,Allan,Male,32,England,White Collar,28.Nov.15,52696.94,LeonardAllan,28,11,2015,Nov,Unique
100000998,Michael,Allan,Male,36,England,Other,26.Jun.15,82776.89,MichaelAllan,26,6,2015,Jun,Unique
100000130,Alison,MacLeod,Female,27,England,White Collar,01.Apr.15,27738.77,AlisonMacLeod,1,4,2015,Apr,Duplicate
400001906,Alison,MacLeod,Female,28,Northern Ireland,Other,03.Sep.15,31153.14,AlisonMacLeod,3,9,2015,Sep,Duplicate
200000896,Paul,Allan,Male,59,Scotland,Blue Collar,16.Jun.15,21784.09,PaulAllan,16,6,2015,Jun,Unique
200003425,Rachel,Allan,Female,33,Scotland,White Collar,28.Nov.15,422.94,RachelAllan,28,11,2015,Nov,Unique
100002089,Sam,Allan,Male,31,England,White Collar,16.Sep.15,59589.73,SamAllan,16,9,2015,Sep,Unique
100001381,Sebastian,Allan,Male,30,England,Blue Collar,26.Jul.15,32676.42,SebastianAllan,26,7,2015,Jul,Unique
200001586,Vanessa,Allan,Female,54,Scotland,Other,11.Aug.15,80616.31,VanessaAllan,11,8,2015,Aug,Unique
100003515,Victor,Allan,Male,25,England,Blue Collar,03.Dec.15,2046.02,VictorAllan,3,12,2015,Dec,Unique
200003697,Adrian,Alsop,Male,52,Scotland,Blue Collar,13.Dec.15,19297.55,AdrianAlsop,13,12,2015,Dec,Unique
200001868,Alexandra,Alsop,Female,48,Scotland,Other,31.Aug.15,39884.78,AlexandraAlsop,31,8,2015,Aug,Unique
100003094,Andrea,Alsop,Female,23,England,White Collar,10.Nov.15,133589.87,AndreaAlsop,10,11,2015,Nov,Unique
200001991,Bernadette,Alsop,Female,45,Scotland,White Collar,10.Sep.15,42756.92,BernadetteAlsop,10,9,2015,Sep,Unique
100000279,Blake,Alsop,Male,42,England,White Collar,19.Apr.15,32187.62,BlakeAlsop,19,4,2015,Apr,Unique
200001612,Brian,Alsop,Male,61,Scotland,Other,13.Aug.15,4926.12,BrianAlsop,13,8,2015,Aug,Unique
300000794,Cameron,Alsop,Male,41,Wales,White Collar,03.Jun.15,132675.53,CameronAlsop,3,6,2015,Jun,Unique
100003575,Charles,Alsop,Male,26,England,Blue Collar,06.Dec.15,16466.56,CharlesAlsop,6,12,2015,Dec,Unique
200001062,Dan,Alsop,Male,54,Scotland,Other,02.Jul.15,16280.16,DanAlsop,2,7,2015,Jul,Unique
200003154,David,Alsop,Male,49,Scotland,Other,13.Nov.15,45629.65,DavidAlsop,13,11,2015,Nov,Unique
100001720,Deirdre,Alsop,Female,25,England,Blue Collar,23.Aug.15,47846.97,DeirdreAlsop,23,8,2015,Aug,Unique
100002429,Diana,Alsop,Female,43,England,White Collar,03.Oct.15,42972.72,DianaAlsop,3,10,2015,Oct,Unique
200001904,Diane,Alsop,Female,50,Scotland,Other,03.Sep.15,48266.76,DianeAlsop,3,9,2015,Sep,Unique
200001046,Dylan,Alsop,Male,47,Scotland,Blue Collar,30.Jun.15,56257.26,DylanAlsop,30,6,2015,Jun,Unique
100002743,Edward,Alsop,Male,38,England,White Collar,22.Oct.15,59605.02,EdwardAlsop,22,10,2015,Oct,Unique
400001816,Emily,Alsop,Female,25,Northern Ireland,Other,27.Aug.15,29644.65,EmilyAlsop,27,8,2015,Aug,Unique
200001571,Ian,Alsop,Male,52,Scotland,Blue Collar,10.Aug.15,4661.79,IanAlsop,10,8,2015,Aug,Unique
100001674,Irene,Alsop,Female,46,England,White Collar,20.Aug.15,7003.01,IreneAlsop,20,8,2015,Aug,Unique
100003374,Jack,Alsop,Male,42,England,Blue Collar,27.Nov.15,59160.59,JackAlsop,27,11,2015,Nov,Unique
200003702,Jake,Alsop,Male,47,Scotland,Other,13.Dec.15,37150.04,JakeAlsop,13,12,2015,Dec,Unique
